ID	ACO1_A	ACO1_B	ACO2_A	ACO2_B	ACO3_A	ACO3_B	ACO4_A	ACO4_B	ACO5_A	ACO5_B	AO1_A	AO1_B	AO2_A	AO2_B	AO3_A	AO3_B	AO4_A	AO4_B	AO5_A	AO5_B	B1_A	B1_B	B2_A	B2_B	B3_A	B3_B	B4_A	B4_B	B5_A	B5_B	BO1_A	BO1_B	BO2_A	BO2_B	BO3_A	BO3_B	BO4_A	BO4_B	BO5_A	BO5_B	CO1_A	CO1_B	CO2_A	CO2_B	CO3_A	CO3_B	CO4_A	CO4_B	CO5_A	CO5_B	nCO1_A	nCO1_B	nCO2_A	nCO2_B	nCO3_A	nCO3_B	nCO4_A	nCO4_B	nCO5_A	nCO5_B
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.14708	99.74711	97.20623	99.93822	99.9401	100.0	99.76831	100.0	99.60863	100.0	99.61925	100.0	100.0	100.0	98.85221	98.83025	98.32036	98.92239	100.0	100.0	100.0	100.0	99.50968	99.79943	99.57847	99.95044	99.9004	100.0	100.0	100.0	99.5704	99.86075	99.60359	100.0	100.0	100.0	99.79885	100.0	99.90813	100.0
k__Bacteria|p__Actinobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10326	0.0	1.27782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10326	0.0	1.27782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10326	0.0	1.27782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10326	0.0	1.27782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10326	0.0	1.27782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	84.99942	84.99942	88.23037	84.01358	100.0	88.54175	25.93864	53.12734	54.30143	40.29308	99.41731	100.0	77.19014	67.79396	56.95737	68.8229	67.47726	48.74853	83.58938	94.69076	85.68039	91.30634	75.61983	81.84286	17.21131	8.61903	1.51599	0.68775	19.71574	29.28882	4.8121	4.28973	1.70717	1.94279	20.66562	15.51619	59.34628	59.06535	24.94415	17.43158	38.90044	42.26812	19.52139	26.2905	51.30516	51.62491	12.15993	10.47514	29.39605	26.83843	28.24216	31.45066	26.00435	34.34523	40.92839	41.63147	21.04494	17.61134	24.19365	20.97421
k__Bacteria|p__Firmicutes|c__Bacilli	84.99942	84.99942	88.23037	84.01358	100.0	88.54175	25.93864	53.12734	54.30143	40.29308	99.41731	100.0	77.19014	67.79396	56.95737	68.8229	67.47726	48.74853	83.58938	94.69076	85.68039	91.30634	75.61983	81.84286	17.21131	8.61903	1.51599	0.68775	19.71574	29.28882	4.8121	4.28973	1.70717	1.94279	20.66562	15.51619	59.34628	59.06535	24.94415	17.43158	38.90044	42.26812	19.52139	26.2905	51.30516	51.62491	12.15993	10.47514	29.39605	26.83843	28.24216	31.45066	26.00435	34.34523	40.92839	41.63147	21.04494	17.61134	24.19365	20.97421
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	84.99942	84.99942	88.23037	84.01358	100.0	88.54175	25.93864	53.12734	54.30143	40.29308	99.41731	100.0	77.19014	67.79396	56.95737	68.8229	67.47726	48.74853	83.58938	94.69076	85.68039	91.30634	75.61983	81.84286	17.21131	8.61903	1.51599	0.68775	19.71574	29.28882	4.8121	4.28973	1.70717	1.94279	20.66562	15.51619	59.34628	59.06535	24.94415	17.43158	38.90044	42.26812	19.52139	26.2905	51.30516	51.62491	12.15993	10.47514	29.39605	26.83843	28.24216	31.45066	26.00435	34.34523	40.92839	41.63147	21.04494	17.61134	24.19365	20.97421
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	84.99942	84.99942	3.16742	4.35117	31.16886	28.93042	9.13968	11.34655	12.53819	3.75476	75.87575	38.87784	26.19954	25.64416	41.54266	43.10747	30.59242	48.74853	11.34968	11.89503	68.27729	75.21424	48.48836	57.44031	6.57768	3.69851	1.51599	0.68775	10.36298	10.44752	2.76963	2.61477	1.70717	1.94279	11.69361	12.9228	47.06809	52.80681	1.76814	2.16106	38.90044	42.26812	10.64733	9.89978	49.1245	47.29284	6.7438	8.61637	19.36733	26.83843	5.63331	5.47425	5.95034	8.90349	0.0	0.0	4.29559	6.48383	6.70739	9.90384
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	84.99942	84.99942	3.16742	4.35117	31.16886	28.93042	9.13968	11.34655	12.53819	3.75476	75.87575	38.87784	26.19954	25.64416	41.54266	43.10747	30.59242	48.74853	11.34968	11.89503	68.27729	75.21424	48.48836	57.44031	6.57768	3.69851	1.51599	0.68775	10.36298	10.44752	2.76963	2.61477	1.70717	1.94279	11.69361	12.9228	47.06809	52.80681	1.76814	2.16106	38.90044	42.26812	10.64733	9.89978	49.1245	47.29284	6.7438	8.61637	19.36733	26.83843	5.63331	5.47425	5.95034	8.90349	0.0	0.0	4.29559	6.48383	6.70739	9.90384
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_brevis	0.4226	0.4226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.98314	0.65421	1.92854	1.51527	0.0	0.0	0.0	0.0	2.3227	1.32738	4.41917	4.57692	7.28565	9.38026	3.56156	2.01276	0.0	0.0	1.74464	1.67402	1.13298	0.8106	0.0	0.0	4.22888	4.65551	1.25454	1.96421	0.0	0.0	0.0	0.0	6.22432	5.54232	0.0	0.0	0.0	0.0	0.0	0.0	2.10245	1.89581	1.75986	2.52933	0.0	0.0	0.72211	0.35091	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_brevis|t__Lactobacillus_brevis_unclassified	0.4226	0.4226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.98314	0.65421	1.92854	1.51527	0.0	0.0	0.0	0.0	2.3227	1.32738	4.41917	4.57692	7.28565	9.38026	3.56156	2.01276	0.0	0.0	1.74464	1.67402	1.13298	0.8106	0.0	0.0	4.22888	4.65551	1.25454	1.96421	0.0	0.0	0.0	0.0	6.22432	5.54232	0.0	0.0	0.0	0.0	0.0	0.0	2.10245	1.89581	1.75986	2.52933	0.0	0.0	0.72211	0.35091	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum	84.57682	84.57682	3.16742	4.35117	31.16886	28.93042	9.13968	11.34655	12.53819	3.75476	70.89261	38.22363	24.271	24.12889	41.54266	43.10747	30.59242	48.74853	9.02698	10.56765	63.85812	70.63731	41.20271	48.06006	3.01612	1.68575	1.51599	0.68775	8.61834	8.7735	1.63665	1.80417	1.70717	1.94279	7.46474	8.26729	45.81355	50.8426	1.76814	2.16106	38.90044	42.26812	4.42301	4.35746	49.1245	47.29284	6.7438	8.61637	19.36733	26.83843	3.53086	3.57844	4.19048	6.37416	0.0	0.0	3.57347	6.13291	6.70739	9.90384
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum|t__Lactobacillus_plantarum_unclassified	84.57682	84.57682	3.16742	4.35117	31.16886	28.93042	9.13968	11.34655	12.53819	3.75476	70.89261	38.22363	24.271	24.12889	41.54266	43.10747	30.59242	48.74853	9.02698	10.56765	63.85812	70.63731	41.20271	48.06006	3.01612	1.68575	1.51599	0.68775	8.61834	8.7735	1.63665	1.80417	1.70717	1.94279	7.46474	8.26729	45.81355	50.8426	1.76814	2.16106	38.90044	42.26812	4.42301	4.35746	49.1245	47.29284	6.7438	8.61637	19.36733	26.83843	3.53086	3.57844	4.19048	6.37416	0.0	0.0	3.57347	6.13291	6.70739	9.90384
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	0.0	0.0	85.06296	79.66241	68.83114	59.61132	16.79896	41.78079	41.76324	36.53831	23.54155	61.12216	50.9906	42.1498	15.41471	25.71543	36.88483	0.0	72.2397	82.79573	17.40311	16.09211	27.13148	24.40255	10.63364	4.92051	0.0	0.0	9.35275	18.8413	2.04247	1.67497	0.0	0.0	8.972	2.59339	12.27818	6.25854	23.17601	15.27052	0.0	0.0	8.87406	16.39072	2.18066	4.33207	5.41614	1.85877	10.02872	0.0	22.60884	25.97641	20.054	25.44174	40.92839	41.63147	16.74935	11.12751	17.48626	11.07037
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	0.0	0.0	6.94554	7.36104	0.0	0.0	0.0	0.0	0.0	0.0	5.33191	3.91784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.78938	8.05835	0.0	0.0	0.0	0.0	2.6682	3.25794	1.14221	1.01568	0.0	0.0	3.90312	2.59339	0.0	0.0	13.49489	3.70495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides	0.0	0.0	6.94554	7.36104	0.0	0.0	0.0	0.0	0.0	0.0	5.33191	3.91784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.78938	8.05835	0.0	0.0	0.0	0.0	2.6682	3.25794	1.14221	1.01568	0.0	0.0	3.90312	2.59339	0.0	0.0	13.49489	3.70495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides|t__Leuconostoc_pseudomesenteroides_unclassified	0.0	0.0	6.94554	7.36104	0.0	0.0	0.0	0.0	0.0	0.0	5.33191	3.91784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.78938	8.05835	0.0	0.0	0.0	0.0	2.6682	3.25794	1.14221	1.01568	0.0	0.0	3.90312	2.59339	0.0	0.0	13.49489	3.70495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	0.0	0.0	78.11742	72.30137	68.83114	59.61132	16.79896	41.78079	41.76324	36.53831	18.20964	57.20432	50.9906	42.1498	15.41471	25.71543	36.88483	0.0	72.2397	82.79573	17.40311	16.09211	17.34209	16.34419	10.63364	4.92051	0.0	0.0	6.68456	15.58336	0.90026	0.65928	0.0	0.0	5.06888	0.0	12.27818	6.25854	9.68112	11.56557	0.0	0.0	8.87406	16.39072	2.18066	4.33207	5.41614	1.85877	10.02872	0.0	22.60884	25.97641	20.054	25.44174	40.92839	41.63147	16.74935	11.12751	17.48626	11.07037
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria	0.0	0.0	13.33312	13.76427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36016	1.46214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria|t__GCF_000193635	0.0	0.0	13.33312	13.76427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36016	1.46214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_unclassified	0.0	0.0	64.7843	58.5371	68.83114	59.61132	16.79896	41.78079	41.76324	36.53831	18.20964	57.20432	50.9906	42.1498	15.41471	25.71543	36.88483	0.0	72.2397	82.79573	16.04294	14.62997	17.34209	16.34419	10.63364	4.92051	0.0	0.0	6.68456	15.58336	0.90026	0.65928	0.0	0.0	5.06888	0.0	12.27818	6.25854	9.68112	11.56557	0.0	0.0	8.87406	16.39072	2.18066	4.33207	5.41614	1.85877	10.02872	0.0	22.60884	25.97641	20.054	25.44174	40.92839	41.63147	16.74935	11.12751	17.48626	11.07037
k__Bacteria|p__Proteobacteria	15.00058	15.00058	11.76963	15.98642	0.0	11.45825	74.06136	46.87266	45.69857	59.70692	0.58269	0.0	22.80986	32.20604	43.04263	31.1771	32.52274	51.25147	16.41062	5.30924	13.46669	8.44077	21.58639	18.09536	82.72878	91.38097	98.25232	99.31225	79.89289	70.71118	94.80715	95.71027	98.29283	98.05721	78.18659	83.31406	38.97409	39.85703	75.05585	82.56842	58.9963	57.73188	78.71047	73.50893	48.27331	48.32553	87.74047	89.52486	70.60395	73.16157	70.86317	68.41009	73.59925	65.65477	59.07161	58.36853	78.75391	82.38866	75.71448	79.02579
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0	0.0	11.76963	15.98642	0.0	0.0	74.06136	46.87266	45.69857	59.70692	0.58269	0.0	22.80986	31.91045	43.04263	31.1771	32.52274	51.25147	16.41062	2.19103	13.46669	8.44077	21.58639	18.09536	82.72878	91.38097	98.25232	99.31225	79.89289	70.71118	94.80715	95.71027	98.29283	98.05721	77.31695	83.31406	38.97409	39.85703	75.05585	82.56842	58.9963	57.73188	78.71047	73.50893	48.27331	48.19845	87.74047	89.52486	70.60395	73.16157	68.22091	65.60402	73.59925	65.65477	59.07161	58.36853	78.75391	82.38866	75.71448	79.02579
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.0	0.0	11.76963	15.98642	0.0	0.0	74.06136	46.87266	45.69857	59.70692	0.58269	0.0	22.80986	31.91045	43.04263	31.1771	32.52274	51.25147	16.41062	2.19103	13.46669	8.44077	21.58639	18.09536	82.72878	91.38097	98.25232	99.31225	79.89289	70.71118	94.80715	95.71027	98.29283	98.05721	77.31695	83.31406	38.97409	39.85703	75.05585	82.56842	58.9963	57.73188	78.71047	73.50893	48.27331	48.19845	87.74047	89.52486	70.60395	73.16157	68.22091	65.60402	73.59925	65.65477	59.07161	58.36853	78.75391	82.38866	75.71448	79.02579
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	0.0	0.0	11.76963	15.98642	0.0	0.0	74.06136	46.87266	45.69857	59.70692	0.58269	0.0	22.80986	31.91045	43.04263	31.1771	32.52274	51.25147	16.41062	2.19103	13.46669	8.44077	21.58639	18.09536	82.72878	91.38097	98.25232	99.31225	79.89289	70.71118	94.80715	95.71027	98.29283	98.05721	77.31695	83.31406	38.97409	39.85703	75.05585	82.56842	58.9963	57.73188	78.71047	73.50893	48.27331	48.19845	87.74047	89.52486	70.60395	73.16157	68.22091	65.60402	73.59925	65.65477	59.07161	58.36853	78.75391	82.38866	75.71448	79.02579
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter	0.0	0.0	11.76963	15.98642	0.0	0.0	74.06136	46.87266	45.69857	59.70692	0.58269	0.0	22.80986	31.91045	43.04263	31.1771	32.52274	51.25147	16.13025	2.19103	13.46669	8.44077	20.71843	18.09536	82.13205	91.38097	97.98649	98.92309	79.56358	70.71118	94.78858	95.71027	97.48586	98.05721	77.31695	83.31406	38.97409	39.85703	75.05585	82.56842	56.95551	53.72059	78.71047	73.50893	48.0513	47.86768	87.74047	89.23891	70.60395	73.16157	68.15182	65.60402	73.49509	65.52234	59.07161	58.36853	78.75391	82.38866	75.71448	79.02579
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_aceti	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82265	0.27655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_aceti|t__Acetobacter_aceti_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82265	0.27655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
